Id,Feature1,Feature2,Species,Predicted
21,0.4081632653061227,0.0875,Iris-setosa,Iris-setosa
22,0.4081632653061227,0.0875,Iris-setosa,Iris-setosa
23,0.2857142857142856,0.0,Iris-setosa,Iris-setosa
24,0.3265306122448976,0.125,Iris-setosa,Iris-setosa
25,0.2857142857142856,0.1125,Iris-setosa,Iris-setosa
26,0.2448979591836735,0.075,Iris-setosa,Iris-setosa
27,0.3265306122448981,0.1,Iris-setosa,Iris-setosa
28,0.3877551020408163,0.0625,Iris-setosa,Iris-setosa
29,0.3673469387755101,0.05,Iris-setosa,Iris-setosa
30,0.2244897959183673,0.075,Iris-setosa,Iris-setosa
71,0.4693877551020411,0.6750000000000002,Iris-versicolor,Iris-virginica
72,0.4285714285714284,0.5125000000000001,Iris-versicolor,Iris-versicolor
73,0.4081632653061227,0.6500000000000002,Iris-versicolor,Iris-versicolor
74,0.4285714285714284,0.5875000000000001,Iris-versicolor,Iris-versicolor
75,0.5102040816326534,0.55,Iris-versicolor,Iris-versicolor
76,0.5714285714285714,0.5750000000000002,Iris-versicolor,Iris-versicolor
77,0.5714285714285714,0.6250000000000001,Iris-versicolor,Iris-versicolor
78,0.5918367346938775,0.6875000000000002,Iris-versicolor,Iris-virginica
79,0.4285714285714288,0.6000000000000002,Iris-versicolor,Iris-versicolor
80,0.3061224489795919,0.4125000000000001,Iris-versicolor,Iris-versicolor
121,0.6734693877551026,0.8500000000000002,Iris-virginica,Iris-virginica
122,0.3265306122448976,0.7125000000000002,Iris-virginica,Iris-virginica
123,0.7551020408163267,0.9375,Iris-virginica,Iris-virginica
124,0.4489795918367347,0.6875000000000002,Iris-virginica,Iris-virginica
125,0.6530612244897962,0.8250000000000003,Iris-virginica,Iris-virginica
126,0.7346938775510208,0.8250000000000002,Iris-virginica,Iris-virginica
127,0.4489795918367347,0.6750000000000002,Iris-virginica,Iris-virginica
128,0.4693877551020409,0.6875000000000002,Iris-virginica,Iris-virginica
129,0.4897959183673468,0.8125000000000001,Iris-virginica,Iris-virginica
130,0.693877551020408,0.7750000000000002,Iris-virginica,Iris-virginica
