path,hu1,hu2,hu3,hu4,hu5,hu6,hu7
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_1.jpg,0.2992998816462246,0.057547820601631744,0.009038421254891568,0.005692077905734859,4.078497076633968e-05,0.0013474057355748776,-1.862534865500987e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_10.jpg,0.31712067977014,0.06782528978309846,0.01102206380830586,0.007326361303031846,6.579751431194521e-05,0.001882836174127081,-2.2530939565266056e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_2.jpg,0.3385760531830058,0.07940509724217067,0.01205618292456672,0.008320060677284098,8.331979292470585e-05,0.002333103084514743,1.218971958879342e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_3.jpg,0.36784522455901725,0.10085744742638603,0.01817332504254751,0.012058975552993723,0.00017816377072709625,0.003644920338832357,1.1245688122207278e-05
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_4.jpg,0.3149109418192884,0.0666902041466948,0.010658710614866302,0.007068704891300285,6.131844825746279e-05,0.0018005653006677974,-2.1667002223699494e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_5.jpg,0.2993630626461127,0.05757890823430509,0.009033215011575179,0.005690596823376762,4.075724715792644e-05,0.0013474836822175394,-1.8626462755663576e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_6.jpg,0.33842472723774397,0.07931739211682007,0.012013864133319986,0.008286929200743842,8.267709810097588e-05,0.002322517574322638,1.210910781207848e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_7.jpg,0.3677639814014719,0.10081953532678506,0.018100515585615415,0.012006872151862339,0.00017665409158867636,0.0036286379973380365,1.1170939841373322e-05
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_8.jpg,1.3247850033573552,1.3107104488681285,10.57268743507412,10.331819463468307,107.98289547880616,11.588558404347783,0.39741114444003856
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Bang_9.jpg,0.3149137336355243,0.06669064807622982,0.010660081495319083,0.007070041596120655,6.133981190182052e-05,0.0018009300961126145,-2.1667346709180932e-06
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_1.jpg,0.18423577022818916,0.006717063578677223,0.0006555116526089934,9.240014988735865e-05,2.2679004066452523e-08,7.5485800429124335e-06,1.6707001480059472e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_10.jpg,0.1853178444355909,0.007617701208985237,0.0003714084777071933,4.250582984779357e-05,5.0951481901200865e-09,3.1112956184390893e-06,-1.6008133641012897e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_2.jpg,0.18692889824429204,0.008072223352619326,0.0005482807171978668,8.831053882199837e-05,1.9424298888241237e-08,7.899429610155202e-06,5.514360534396332e-10
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_3.jpg,0.1862509751509011,0.00781580785680109,0.0005476623893861556,8.588391404621413e-05,1.8620701945652096e-08,7.563895929424536e-06,4.524253951665889e-10
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_4.jpg,0.18561152693653632,0.0077082077550705876,0.00037663773113125654,4.270941678533774e-05,5.136165656531947e-09,3.0988237532695195e-06,-1.7210876043777024e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_5.jpg,0.1868259732145249,0.00803108141453898,0.000548374419417896,8.817525530150608e-05,1.9384337734299392e-08,7.874152241786666e-06,4.3178234703423765e-10
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_6.jpg,0.18676120375738336,0.008108723049767758,0.00036267022463613483,4.658871425454267e-05,5.887287716383064e-09,3.7080731181673146e-06,-1.4189743908108161e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_7.jpg,0.18398974079134633,0.006637248773265683,0.0006501254121309949,9.020206102040473e-05,2.1781831460613438e-08,7.323733407382717e-06,1.6409099430665405e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_8.jpg,0.18119820282450572,0.005484071082597619,0.0006754181667318674,8.421752538214615e-05,2.003388790732773e-08,6.2285036580872335e-06,1.4437659685702745e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Trau_9.jpg,0.18623736485801115,0.007815769252433331,0.0005473052902569743,8.5466791748054e-05,1.847375856709129e-08,7.512503558648391e-06,6.340727600192923e-10
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_1.jpg,0.5103013985974548,0.2334979689339323,0.00280658967102675,0.0024304953253928615,6.3478126469686855e-06,0.0011685581436189346,-3.742100029775262e-08
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_10.jpg,0.5036317073583048,0.22689352584549252,0.002094255381054426,0.0017977102702725033,3.488095343087061e-06,0.0008535334809998877,-1.8368891012267948e-08
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_2.jpg,0.5065496251153978,0.23027319293466392,0.0011265621222191456,0.0009556702949270829,9.915786094539923e-07,0.0004574016886710446,7.539471806880515e-09
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_3.jpg,0.5130960770159798,0.23709614988753108,0.0005240935301284373,0.00023690236805978934,8.086754450759167e-08,8.854843437247643e-05,-2.0702232618605397e-08
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_4.jpg,0.5103013985974548,0.2334979689339323,0.00280658967102675,0.0024304953253928615,6.3478126469686855e-06,0.0011685581436189346,-3.742100029775262e-08
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_5.jpg,0.42583238256003697,0.15490896461206782,0.00023090931371416324,0.00019498402400179923,4.136768208059392e-08,7.521335336249486e-05,6.766002018186128e-10
/media/pphong/New Volume/ML & DL/ML/Hu'smoment/dataset_leafs_binary/La_Truc_6.jpg,0.4250196493570486,0.1529614249708327,0.0006075308225962191,0.0006790332156634115,4.361154073069514e-07,0.00026546129136724206,4.1069780424081186e-09
